code,name,description,is_enabled,extra
A000,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",COLERA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A001,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",COLERA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A009,"COLERA, NO ESPECIFICADO",COLERA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A010,FIEBRE TIFOIDEA,FIEBRES TIFOIDEA Y PARATIFOIDEA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A011,FIEBRE PARATIFOIDEA A,FIEBRES TIFOIDEA Y PARATIFOIDEA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A012,FIEBRE PARATIFOIDEA B,FIEBRES TIFOIDEA Y PARATIFOIDEA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A013,FIEBRE PARATIFOIDEA C,FIEBRES TIFOIDEA Y PARATIFOIDEA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",FIEBRES TIFOIDEA Y PARATIFOIDEA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A020,ENTERITIS DEBIDA A SALMONELLA,OTRAS INFECCIONES DEBIDAS SALMONELLA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A021,SEPSIS DEBIDA A SALMONELLA,OTRAS INFECCIONES DEBIDAS SALMONELLA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,OTRAS INFECCIONES DEBIDAS SALMONELLA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
